receipt number,PD,notice date,days,month
src2190227077,2021-05-06 00:00:00,2021-12-15 00:00:00,223,21-Dec
src2190154303,2021-01-05 00:00:00,2022-01-18 00:00:00,378,22-Jan
src2190170860,2021-01-26 00:00:00,2022-01-18 00:00:00,357,22-Jan
src2190239156,2021-05-25 00:00:00,2022-01-18 00:00:00,238,22-Jan
src2090015617,2019-10-09 00:00:00,2022-01-18 00:00:00,832,22-Jan
src2190153149,2020-12-28 00:00:00,2022-01-18 00:00:00,386,22-Jan
src2090244826,2020-04-15 00:00:00,2022-01-18 00:00:00,643,22-Jan
src2190175712,2021-02-08 00:00:00,2022-01-18 00:00:00,344,22-Jan
src2190280833,2021-07-23 00:00:00,2022-01-18 00:00:00,179,22-Jan
src2090458841,2020-08-25 00:00:00,2022-01-18 00:00:00,511,22-Jan
src2190206646,2021-04-02 00:00:00,2022-01-18 00:00:00,291,22-Jan
src2190186907,2021-03-01 00:00:00,2022-01-18 00:00:00,323,22-Jan
src2190208282,2021-04-06 00:00:00,2022-01-19 00:00:00,288,22-Jan
src2190198828,2021-03-19 00:00:00,2022-01-19 00:00:00,306,22-Jan
src2190197341,2021-03-17 00:00:00,2022-01-19 00:00:00,308,22-Jan
src2190222446,2021-04-30 00:00:00,2022-01-19 00:00:00,264,22-Jan
src2190244995,2021-06-04 00:00:00,2022-01-19 00:00:00,229,22-Jan
src2190227075,2021-05-06 00:00:00,2022-01-19 00:00:00,258,22-Jan
src2190290608,2021-08-10 00:00:00,2022-01-19 00:00:00,162,22-Jan
src2190283863,2021-07-30 00:00:00,2022-01-19 00:00:00,173,22-Jan
src2190200260,2021-03-22 00:00:00,2022-01-19 00:00:00,303,22-Jan
src2190284001,2021-07-30 00:00:00,2022-01-19 00:00:00,173,22-Jan
src2190229516,2021-05-10 00:00:00,2022-01-19 00:00:00,254,22-Jan
src2090099907,2019-12-13 00:00:00,2022-01-19 00:00:00,768,22-Jan
src2190248996,2021-06-10 00:00:00,2022-01-19 00:00:00,223,22-Jan
src2190290746,2021-08-10 00:00:00,2022-01-19 00:00:00,162,22-Jan
src2090447320,2020-08-21 00:00:00,2022-01-19 00:00:00,516,22-Jan
src2190287744,2021-08-06 00:00:00,2022-01-20 00:00:00,167,22-Jan
src2190198827,2021-03-19 00:00:00,2022-01-20 00:00:00,307,22-Jan
src2190227040,2021-05-06 00:00:00,2022-01-20 00:00:00,259,22-Jan
src2190284267,2021-08-02 00:00:00,2022-01-20 00:00:00,171,22-Jan
src2090212406,2020-03-16 00:00:00,2022-01-20 00:00:00,675,22-Jan
src2190280834,2021-07-23 00:00:00,2022-01-20 00:00:00,181,22-Jan
src2190263027,2021-05-31 00:00:00,2022-01-20 00:00:00,234,22-Jan
src2190187765,2021-03-02 00:00:00,2022-01-20 00:00:00,324,22-Jan
src2090223357,2020-03-23 00:00:00,2022-01-20 00:00:00,668,22-Jan
src2190015606,2020-10-12 00:00:00,2022-01-20 00:00:00,465,22-Jan
src2190274077,2021-07-16 00:00:00,2022-01-20 00:00:00,188,22-Jan
src2190149226,2020-12-18 00:00:00,2022-01-20 00:00:00,398,22-Jan
src2090113648,2019-12-24 00:00:00,2022-01-20 00:00:00,758,22-Jan
